Date,Start_date,day_night,Time,Air_temp,Wind_speed,Rainfall_accumulation,Rainfall_last_3hrs,
18/05/2023,17/05/2023,night,03:00,10.3,0,0,0,
18/05/2023,17/05/2023,night,06:00,8.9,0,0,0,
18/05/2023,17/05/2023,day,09:00,13.7,0,0,0,
18/05/2023,17/05/2023,day,12:00,18,1.6,0,0,
18/05/2023,17/05/2023,day,15:00,20,2.2,0,0,
18/05/2023,18/05/2023,night,18:00,19,0.8,0,0,
18/05/2023,18/05/2023,night,21:00,15.9,0.2,0,0,
19/05/2023,18/05/2023,night,00:00,13,0,0,0,
19/05/2023,18/05/2023,night,03:00,11.3,0,0,0,
19/05/2023,18/05/2023,night,06:00,10.2,0,0,0,
19/05/2023,18/05/2023,day,09:00,13.7,0.8,0,0,
19/05/2023,18/05/2023,day,12:00,18.5,0,0,0,
19/05/2023,18/05/2023,day,15:00,18.7,0.2,0,0,
19/05/2023,19/05/2023,night,18:00,16.9,0,0,0,
19/05/2023,19/05/2023,night,21:00,14.4,0,0,0,
20/05/2023,19/05/2023,night,00:00,11.1,0,0,0,
20/05/2023,19/05/2023,night,03:00,7.9,0,0,0,
20/05/2023,19/05/2023,night,06:00,7.4,0,0,0,
20/05/2023,19/05/2023,day,09:00,11.5,0,0,0,
20/05/2023,19/05/2023,day,12:00,18.3,0.2,0,0,
20/05/2023,19/05/2023,day,15:00,21.5,0.8,0,0,
20/05/2023,20/05/2023,night,18:00,18.9,1,0,0,
20/05/2023,20/05/2023,night,21:00,15.2,0,0,0,
21/05/2023,20/05/2023,night,00:00,10,0,0,0,
21/05/2023,20/05/2023,night,03:00,7.6,0,0,0,
21/05/2023,20/05/2023,night,06:00,7.1,0,0,0,
21/05/2023,20/05/2023,day,09:00,14.2,0.6,0,0,
21/05/2023,20/05/2023,day,12:00,18.5,0.8,0,0,
21/05/2023,20/05/2023,day,15:00,18.7,0.6,0,0,
21/05/2023,21/05/2023,night,18:00,20,0.3,0,0,
21/05/2023,21/05/2023,night,21:00,14.7,0.2,0,0,
22/05/2023,21/05/2023,night,00:00,12.5,0.2,0,0,
22/05/2023,21/05/2023,night,03:00,11.8,0,0,0,
22/05/2023,21/05/2023,night,06:00,11.5,0.8,0,0,
22/05/2023,21/05/2023,day,09:00,14.2,1.6,0,0,
22/05/2023,21/05/2023,day,12:00,15.4,0.6,0,0,
22/05/2023,21/05/2023,day,15:00,17.2,1.4,0,0,
22/05/2023,22/05/2023,night,18:00,20.2,0.2,0,0,
22/05/2023,22/05/2023,night,21:00,15.3,0,0,0,
23/05/2023,22/05/2023,night,00:00,11.4,0,0,0,
23/05/2023,22/05/2023,night,03:00,8,0,0,0,
23/05/2023,22/05/2023,night,06:00,7.4,0,0,0,
23/05/2023,22/05/2023,day,09:00,13.6,0.2,0,0,
23/05/2023,22/05/2023,day,12:00,16.7,0.8,0,0,
23/05/2023,22/05/2023,day,15:00,18.3,1,0,0,
23/05/2023,23/05/2023,night,18:00,18,0,0,0,
23/05/2023,23/05/2023,night,21:00,13.5,0,0,0,
24/05/2023,23/05/2023,night,00:00,9.5,0,0,0,
24/05/2023,23/05/2023,night,03:00,7.9,0,0,0,
24/05/2023,23/05/2023,night,06:00,7.9,0,0,0,
24/05/2023,23/05/2023,day,09:00,14.4,1,0,0,
24/05/2023,23/05/2023,day,12:00,18.3,2.4,0,0,
24/05/2023,23/05/2023,day,15:00,20.5,1.9,0,0,
24/05/2023,24/05/2023,night,18:00,22.6,1.4,0,0,
24/05/2023,24/05/2023,night,21:00,16.8,0,0,0,
25/05/2023,24/05/2023,night,00:00,13.4,0,0,0,
25/05/2023,24/05/2023,night,03:00,9.8,0,0,0,
25/05/2023,24/05/2023,night,06:00,11.6,0,0,0,
25/05/2023,24/05/2023,day,09:00,15.8,0,0,0,
25/05/2023,24/05/2023,day,12:00,17.9,3.1,0,0,
25/05/2023,24/05/2023,day,15:00,20,1.9,0,0,
25/05/2023,25/05/2023,night,18:00,19.2,0,0,0,
25/05/2023,25/05/2023,night,21:00,15.1,1.1,0,0,
26/05/2023,25/05/2023,night,00:00,10.4,0,0,0,
26/05/2023,25/05/2023,night,03:00,8.7,0,0,0,
26/05/2023,25/05/2023,night,06:00,7.9,0,0,0,
26/05/2023,25/05/2023,day,09:00,12.5,1.9,0,0,
26/05/2023,25/05/2023,day,12:00,18.2,1,0,0,
26/05/2023,25/05/2023,day,15:00,21.5,0,0,0,
26/05/2023,26/05/2023,night,18:00,20.5,2.7,0,0,
26/05/2023,26/05/2023,night,21:00,14.6,0,0,0,
27/05/2023,26/05/2023,night,00:00,10.7,0.2,0,0,
27/05/2023,26/05/2023,night,03:00,7.3,0,0,0,
27/05/2023,26/05/2023,night,06:00,7.1,0,0,0,
27/05/2023,26/05/2023,day,09:00,13.5,0,0,0,
27/05/2023,26/05/2023,day,12:00,18.3,0.8,0,0,
27/05/2023,26/05/2023,day,15:00,21.9,0.3,0,0,
27/05/2023,27/05/2023,night,18:00,22.6,0,0,0,
27/05/2023,27/05/2023,night,21:00,16.9,0,0,0,
28/05/2023,27/05/2023,night,00:00,11.6,0,0,0,
28/05/2023,27/05/2023,night,03:00,7.9,0,0,0,
28/05/2023,27/05/2023,night,06:00,6.8,0,0,0,
28/05/2023,27/05/2023,day,09:00,15.4,0,0,0,
28/05/2023,27/05/2023,day,12:00,21.8,0,0,0,
28/05/2023,27/05/2023,day,15:00,23.7,0.3,0,0,
28/05/2023,28/05/2023,night,18:00,22.1,0.8,0,0,
28/05/2023,28/05/2023,night,21:00,17.4,1.1,0,0,
29/05/2023,28/05/2023,night,00:00,12.1,2.5,0,0,
29/05/2023,28/05/2023,night,03:00,9.4,0.3,0,0,
29/05/2023,28/05/2023,night,06:00,8.1,0.6,0,0,
29/05/2023,28/05/2023,day,09:00,12.9,0.2,0,0,
29/05/2023,28/05/2023,day,12:00,16.8,1.6,0,0,
29/05/2023,28/05/2023,day,15:00,19.9,1,0,0,
29/05/2023,29/05/2023,night,18:00,18.8,1.1,0,0,
29/05/2023,29/05/2023,night,21:00,14.2,1,0,0,
30/05/2023,29/05/2023,night,00:00,10.8,0.6,0,0,
30/05/2023,29/05/2023,night,03:00,8.8,1,0,0,
30/05/2023,29/05/2023,night,06:00,9.8,0,0,0,
30/05/2023,29/05/2023,day,09:00,12,0.8,0,0,
30/05/2023,29/05/2023,day,12:00,17.5,0.8,0,0,
30/05/2023,29/05/2023,day,15:00,19.8,1.1,0,0,
30/05/2023,30/05/2023,night,18:00,15.7,0,0,0,
30/05/2023,30/05/2023,night,21:00,13.4,0.6,0,0,
31/05/2023,30/05/2023,night,00:00,12.4,2.2,0,0,
31/05/2023,30/05/2023,night,03:00,11.5,0.3,0,0,
31/05/2023,30/05/2023,night,06:00,10.7,1.1,0,0,
31/05/2023,30/05/2023,day,09:00,12.6,1,0,0,
31/05/2023,30/05/2023,day,12:00,17.5,0.8,0,0,
31/05/2023,30/05/2023,day,15:00,20.2,1,0,0,
31/05/2023,31/05/2023,night,18:00,19.7,1.1,0,0,
31/05/2023,31/05/2023,night,21:00,14.5,0.6,0,0,
01/06/2023,31/05/2023,night,00:00,12.4,0,0,0,
01/06/2023,31/05/2023,night,03:00,10.7,1.9,0,0,
01/06/2023,31/05/2023,night,06:00,10,0.3,0,0,
01/06/2023,31/05/2023,day,09:00,11.5,0.8,0,0,
01/06/2023,31/05/2023,day,12:00,14.3,0.3,0,0,
01/06/2023,31/05/2023,day,15:00,19.4,0.3,0,0,
01/06/2023,01/06/2023,night,18:00,20.3,0.6,0,0,
01/06/2023,01/06/2023,night,21:00,13.3,0,0,0,
02/06/2023,01/06/2023,night,00:00,11.7,0.8,0,0,
02/06/2023,01/06/2023,night,03:00,10.9,0.3,0,0,
02/06/2023,01/06/2023,night,06:00,10.4,0.6,0,0,
02/06/2023,01/06/2023,day,09:00,11.6,1.6,0,0,
02/06/2023,01/06/2023,day,12:00,16.1,1,0,0,
02/06/2023,01/06/2023,day,15:00,20.3,0.6,0,0,
02/06/2023,02/06/2023,night,18:00,19.8,0.3,0,0,
02/06/2023,02/06/2023,night,21:00,14.8,0.2,0,0,
03/06/2023,02/06/2023,night,00:00,12.4,1.7,0,0,
03/06/2023,02/06/2023,night,03:00,8.7,0,0,0,
03/06/2023,02/06/2023,night,06:00,8.5,0,0,0,
03/06/2023,02/06/2023,day,09:00,12.5,0.6,0,0,
03/06/2023,02/06/2023,day,12:00,19.6,0.6,0,0,
03/06/2023,02/06/2023,day,15:00,21.7,0.3,0,0,
03/06/2023,03/06/2023,night,18:00,23.4,1,0,0,
03/06/2023,03/06/2023,night,21:00,17.7,0,0,0,
04/06/2023,03/06/2023,night,00:00,13.9,0,0,0,
04/06/2023,03/06/2023,night,03:00,10,0,0,0,
04/06/2023,03/06/2023,night,06:00,9,0,0,0,
04/06/2023,03/06/2023,day,09:00,15.1,0.6,0,0,
04/06/2023,03/06/2023,day,12:00,20.7,0.8,0,0,
04/06/2023,03/06/2023,day,15:00,24,0,0,0,
04/06/2023,04/06/2023,night,18:00,23.9,1.1,0,0,
04/06/2023,04/06/2023,night,21:00,17.8,0.2,0,0,
05/06/2023,04/06/2023,night,00:00,12.3,0,0,0,
05/06/2023,04/06/2023,night,03:00,10,0.6,0,0,
05/06/2023,04/06/2023,night,06:00,10.3,0,0,0,
05/06/2023,04/06/2023,day,09:00,12.1,1.1,0,0,
05/06/2023,04/06/2023,day,12:00,14.9,1.9,0,0,
05/06/2023,04/06/2023,day,15:00,18.3,1.9,0,0,
05/06/2023,05/06/2023,night,18:00,19.2,0,0,0,
05/06/2023,05/06/2023,night,21:00,14.1,0.6,0,0,
06/06/2023,05/06/2023,night,00:00,12.4,1.4,0,0,
06/06/2023,05/06/2023,night,03:00,11.4,0.8,0,0,
06/06/2023,05/06/2023,night,06:00,11.4,0,0,0,
06/06/2023,05/06/2023,day,09:00,12.7,0.2,0,0,
06/06/2023,05/06/2023,day,12:00,14.7,1.9,0,0,
06/06/2023,05/06/2023,day,15:00,17.8,0.6,0,0,
06/06/2023,06/06/2023,night,18:00,18.7,0.8,0,0,
06/06/2023,06/06/2023,night,21:00,13.1,0.2,0,0,
07/06/2023,06/06/2023,night,00:00,11.9,0.3,0,0,
07/06/2023,06/06/2023,night,03:00,11.3,0.3,0,0,no data 2.50am to 5.08am
07/06/2023,06/06/2023,night,06:00,10.8,0,0,0,5.40am nearest
07/06/2023,06/06/2023,day,09:00,12.5,1.1,0,0,
07/06/2023,06/06/2023,day,12:00,17.3,0.8,0,0,
07/06/2023,06/06/2023,day,15:00,22.2,0.2,0,0,
07/06/2023,07/06/2023,night,18:00,22.8,0.3,0,0,
07/06/2023,07/06/2023,night,21:00,17,1.4,0,0,
08/06/2023,07/06/2023,night,00:00,12.5,0,0,0,
08/06/2023,07/06/2023,night,03:00,10,0,0,0,
08/06/2023,07/06/2023,night,06:00,10.7,0,0,0,
08/06/2023,07/06/2023,day,09:00,13.6,1,0,0,
08/06/2023,07/06/2023,day,12:00,19.9,1.1,0,0,
08/06/2023,07/06/2023,day,15:00,23.3,0.8,0,0,
08/06/2023,08/06/2023,night,18:00,24.3,0.6,0,0,
08/06/2023,08/06/2023,night,21:00,18.2,0,0,0,
