"Sample_point","Site","date","total_bat_passes","total_bat_fb","total_bat_activity","com_pip_passes","sop_pip_passes","nat_pip_passes","noid_pip_passes","nls_passes","myotis_passes","unknown_passes","com_pip_fb","sop_pip_fb","noid_pip_fb","social_calls","mins_rec","total_feeding_rate","com_pip_feeding_rate","sop_pip_feeding_rate","lux","Distance_from_water_body","Distance_from_building","Distance_from_woodland","Distance_from_woodland_edge","Distance_from_road","Distance_from_rail","Distance_from_any_artificial_light","Distance_from_streetlamp","No_streetlamps_within_10m","No_streetlamps_within_25m","No_streetlamps_within_50m","No_streetlamps_within_100m","tree_density","mean_gap","canopy_cover","Invert_count","Sun_rise","Sun_set","Moon_rise","Moon_set","Moon_illumination_meridian_passing","Mean_temp_night","Mean_wind_speed_night","Mean_rainfall_last_3hrs_night","mean_dB","var_amp","amp"
"B111","Barnes","02/05/2023",13,0,8,3,10,0,0,0,0,0,0,0,0,0,102,0,0,0,0.01,197,161,0,7,153,551,96,96,0,0,0,1,221.937864333545,0.231372955796632,0.768627044203368,17,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-53.9554545454545,0.206919759987903,2.27176621395275
"B111","Barnes","05/05/2023",42,3,29,7,33,0,2,0,0,0,0,3,0,6,102,0.0714285714285714,0,0.0909090909090909,0.01,197,161,0,7,153,551,96,96,0,0,0,1,221.937864333545,0.231372955796632,0.768627044203368,17,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-53.9554545454545,0.206919759987903,2.27176621395275
"B111","Barnes","06/05/2023",14,0,12,4,10,0,0,0,0,0,0,0,0,12,102,0,0,0,0.01,197,161,0,7,153,551,96,96,0,0,0,1,221.937864333545,0.231372955796632,0.768627044203368,17,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-53.9554545454545,0.206919759987903,2.27176621395275
"B112","Barnes","06/05/2023",12,0,8,4,5,0,0,3,0,0,0,0,0,5,102,0,0,0,0.015,176,100,0,37,121,552,30,30,0,0,5,9,979.621425300193,0.365127471329507,0.634872528670493,3,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-54.3872727272727,3.8253582327543,2.16158703721623
"B112","Barnes","05/05/2023",16,0,11,1,15,0,0,0,0,0,0,0,0,4,102,0,0,0,0.015,176,100,0,37,121,552,30,30,0,0,5,9,979.621425300193,0.365127471329507,0.634872528670493,3,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-54.3872727272727,3.8253582327543,2.16158703721623
"B112","Barnes","02/05/2023",25,0,13,2,23,0,0,0,0,0,0,0,0,0,102,0,0,0,0.015,176,100,0,37,121,552,30,30,0,0,5,9,979.621425300193,0.365127471329507,0.634872528670493,3,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-54.3872727272727,3.8253582327543,2.16158703721623
"B113","Barnes","06/05/2023",126,2,42,29,91,0,2,4,0,0,0,2,0,43,102,0.0158730158730159,0,0.021978021978022,0.035,252,125,0,11,90,488,29,29,0,0,2,6,1616.12080503018,0.347857163296185,0.652142836703815,6,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-53.1581818181818,28.4790976319224,2.49016011499353
"B113","Barnes","05/05/2023",192,9,54,40,151,0,1,0,0,0,5,4,0,87,102,0.046875,0.125,0.0264900662251656,0.035,252,125,0,11,90,488,29,29,0,0,2,6,1616.12080503018,0.347857163296185,0.652142836703815,6,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-53.1581818181818,28.4790976319224,2.49016011499353
"B113","Barnes","02/05/2023",24,2,12,0,15,0,9,0,0,0,0,2,0,0,102,0.0833333333333333,NA,0.133333333333333,0.035,252,125,0,11,90,488,29,29,0,0,2,6,1616.12080503018,0.347857163296185,0.652142836703815,6,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-53.1581818181818,28.4790976319224,2.49016011499353
"B121","Barnes","02/05/2023",10,1,9,0,6,0,1,2,1,0,0,1,0,2,102,0.1,NA,0.166666666666667,4.185,262,141,31,31,65,896,0,0,1,2,8,17,72.4309642372114,0.327370375591835,0.672629624408165,4,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-45.5518181818182,41.2509146734839,5.97785607425026
"B121","Barnes","05/05/2023",86,38,25,22,59,0,5,0,0,0,13,23,2,20,102,0.441860465116279,0.590909090909091,0.389830508474576,4.185,262,141,31,31,65,896,0,0,1,2,8,17,72.4309642372114,0.327370375591835,0.672629624408165,4,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-45.5518181818182,41.2509146734839,5.97785607425026
"B121","Barnes","06/05/2023",157,58,39,12,141,0,3,1,0,0,1,57,0,92,102,0.369426751592357,0.0833333333333333,0.404255319148936,4.185,262,141,31,31,65,896,0,0,1,2,8,17,72.4309642372114,0.327370375591835,0.672629624408165,4,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-45.5518181818182,41.2509146734839,5.97785607425026
"B122","Barnes","06/05/2023",5,0,5,2,2,0,0,1,0,0,0,0,0,9,102,0,0,0,0.01,107,37,0,13,13,570,17,17,0,4,10,23,1178.87601539907,0.217174239547972,0.782825760452028,4,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-52.4245454545455,50.3553715349462,2.70962437791333
"B122","Barnes","02/05/2023",7,0,5,1,4,0,1,0,0,1,0,0,0,9,102,0,0,0,0.01,107,37,0,13,13,570,17,17,0,4,10,23,1178.87601539907,0.217174239547972,0.782825760452028,4,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-52.4245454545455,50.3553715349462,2.70962437791333
"B122","Barnes","05/05/2023",14,0,13,6,6,0,1,1,0,0,0,0,0,8,102,0,0,0,0.01,107,37,0,13,13,570,17,17,0,4,10,23,1178.87601539907,0.217174239547972,0.782825760452028,4,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-52.4245454545455,50.3553715349462,2.70962437791333
"B123","Barnes","06/05/2023",59,62,20,4,50,0,5,0,0,0,0,62,0,27,102,1.05084745762712,0,1.24,1.05,221,169,0,0,9,485,18,18,0,1,4,13,98.7616218510088,0.81711955763132,0.18288044236868,6,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-45.8527272727273,15.3469774688937,5.77430872713986
"B123","Barnes","05/05/2023",45,33,13,4,36,0,3,2,0,0,1,32,0,18,102,0.733333333333333,0.25,0.888888888888889,1.05,221,169,0,0,9,485,18,18,0,1,4,13,98.7616218510088,0.81711955763132,0.18288044236868,6,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-45.8527272727273,15.3469774688937,5.77430872713986
"B123","Barnes","02/05/2023",4,0,4,0,2,1,1,0,0,0,0,0,0,0,102,0,NA,0,1.05,221,169,0,0,9,485,18,18,0,1,4,13,98.7616218510088,0.81711955763132,0.18288044236868,6,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-45.8527272727273,15.3469774688937,5.77430872713986
"B132","Barnes","06/05/2023",43,1,28,25,15,0,1,2,0,0,1,0,0,4,102,0.0232558139534884,0.04,0,2.605,337,151,0,7,7,360,6,6,1,2,5,15,461.488230319546,0.690034979676612,0.309965020323388,1,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-44.5918181818182,3.93701119384482,6.67644774985191
"B132","Barnes","05/05/2023",82,4,23,48,31,0,2,1,0,0,3,1,0,41,102,0.0487804878048781,0.0625,0.032258064516129,2.605,337,151,0,7,7,360,6,6,1,2,5,15,461.488230319546,0.690034979676612,0.309965020323388,1,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-44.5918181818182,3.93701119384482,6.67644774985191
"B132","Barnes","02/05/2023",7,0,5,0,6,0,1,0,0,0,0,0,0,0,102,0,NA,0,2.605,337,151,0,7,7,360,6,6,1,2,5,15,461.488230319546,0.690034979676612,0.309965020323388,1,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-44.5918181818182,3.93701119384482,6.67644774985191
"B133","Barnes","02/05/2023",62,7,27,21,30,0,8,2,0,1,4,3,0,15,102,0.112903225806452,0.19047619047619,0.1,0.02,414,190,0,0,27,292,27,27,0,0,2,8,105.735489456189,0.630074862230883,0.369925137769117,24,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-43.8754545454545,137.132336059919,7.25042786976915
"B133","Barnes","05/05/2023",136,22,44,88,35,0,12,1,0,0,17,0,5,41,102,0.161764705882353,0.193181818181818,0,0.02,414,190,0,0,27,292,27,27,0,0,2,8,105.735489456189,0.630074862230883,0.369925137769117,24,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-43.8754545454545,137.132336059919,7.25042786976915
"B133","Barnes","06/05/2023",119,9,44,57,54,0,6,2,0,0,5,4,0,45,102,0.0756302521008403,0.087719298245614,0.0740740740740741,0.02,414,190,0,0,27,292,27,27,0,0,2,8,105.735489456189,0.630074862230883,0.369925137769117,24,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-43.8754545454545,137.132336059919,7.25042786976915
"B211","Barnes","05/05/2023",225,10,57,77,127,0,20,1,0,0,2,8,0,90,102,0.0444444444444444,0.025974025974026,0.062992125984252,0.02,520,94,0,36,27,55,27,27,0,0,5,13,201.339891812526,0.611040826838038,0.388959173161962,6,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-52.24,1.55386222524139,2.76781057071889
"B211","Barnes","06/05/2023",169,2,50,34,132,0,3,0,0,0,1,1,0,150,102,0.0118343195266272,0.0294117647058824,0.00757575757575758,0.02,520,94,0,36,27,55,27,27,0,0,5,13,201.339891812526,0.611040826838038,0.388959173161962,6,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-52.24,1.55386222524139,2.76781057071889
"B211","Barnes","02/05/2023",32,3,14,18,12,0,1,0,0,1,2,1,0,0,102,0.09375,0.111111111111111,0.0833333333333333,0.02,520,94,0,36,27,55,27,27,0,0,5,13,201.339891812526,0.611040826838038,0.388959173161962,6,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-52.24,1.55386222524139,2.76781057071889
"B212","Barnes","06/05/2023",109,7,46,57,49,0,3,0,0,0,6,1,0,148,102,0.0642201834862385,0.105263157894737,0.0204081632653061,0.01,430,55,0,46,33,68,43,43,0,0,4,18,992.001984003968,0.317818400901152,0.682181599098848,2,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-46.6890909090909,9.97327512098015,5.24423105752812
"B212","Barnes","02/05/2023",34,0,22,11,22,0,1,0,0,0,0,0,0,0,102,0,0,0,0.01,430,55,0,46,33,68,43,43,0,0,4,18,992.001984003968,0.317818400901152,0.682181599098848,2,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-46.6890909090909,9.97327512098015,5.24423105752812
"B212","Barnes","05/05/2023",121,13,49,42,73,0,6,0,0,0,1,12,0,306,102,0.107438016528926,0.0238095238095238,0.164383561643836,0.01,430,55,0,46,33,68,43,43,0,0,4,18,992.001984003968,0.317818400901152,0.682181599098848,2,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-46.6890909090909,9.97327512098015,5.24423105752812
"B213","Barnes","06/05/2023",7,1,5,1,3,0,2,1,0,0,1,0,0,0,102,0.142857142857143,1,0,3.805,537,80,0,0,32,34,14,14,0,3,7,26,84.167999326656,0.737769640823209,0.262230359176791,1,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-43.4418181818182,0.104849991655489,7.621587756436
"B213","Barnes","05/05/2023",6,0,6,1,5,0,0,0,0,0,0,0,0,3,102,0,0,0,3.805,537,80,0,0,32,34,14,14,0,3,7,26,84.167999326656,0.737769640823209,0.262230359176791,1,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-43.4418181818182,0.104849991655489,7.621587756436
"B213","Barnes","02/05/2023",2,0,2,0,0,0,1,1,0,0,0,0,0,0,102,0,NA,NA,3.805,537,80,0,0,32,34,14,14,0,3,7,26,84.167999326656,0.737769640823209,0.262230359176791,1,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-43.4418181818182,0.104849991655489,7.621587756436
"B221","Barnes","05/05/2023",46,5,20,19,26,0,0,1,0,0,2,3,0,17,102,0.108695652173913,0.105263157894737,0.115384615384615,0.02,350,107,0,13,135,83,29,29,0,0,3,14,127.893909444238,0.579561700185367,0.420438299814633,3,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-48.7518181818182,0.00460319645801575,4.13566597186222
"B221","Barnes","06/05/2023",41,8,26,8,31,0,1,1,0,0,1,7,0,55,102,0.195121951219512,0.125,0.225806451612903,0.02,350,107,0,13,135,83,29,29,0,0,3,14,127.893909444238,0.579561700185367,0.420438299814633,3,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-48.7518181818182,0.00460319645801575,4.13566597186222
"B221","Barnes","02/05/2023",36,1,20,14,19,0,0,3,0,0,0,1,0,0,102,0.0277777777777778,0,0.0526315789473684,0.02,350,107,0,13,135,83,29,29,0,0,3,14,127.893909444238,0.579561700185367,0.420438299814633,3,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-48.7518181818182,0.00460319645801575,4.13566597186222
"B222","Barnes","02/05/2023",11,0,10,1,3,0,0,0,7,0,0,0,0,0,102,0,0,0,0.01,225,57,0,18,31,95,34,34,0,0,3,17,275.477350596581,0.391057220944256,0.608942779055744,7,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-47.0127272727273,5.89097413798808,5.05242644940156
"B222","Barnes","06/05/2023",24,0,19,0,9,0,0,4,9,2,0,0,0,16,102,0,NA,0,0.01,225,57,0,18,31,95,34,34,0,0,3,17,275.477350596581,0.391057220944256,0.608942779055744,7,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-47.0127272727273,5.89097413798808,5.05242644940156
"B222","Barnes","05/05/2023",43,1,25,3,27,0,0,0,13,0,0,1,0,9,102,0.0232558139534884,0,0.037037037037037,0.01,225,57,0,18,31,95,34,34,0,0,3,17,275.477350596581,0.391057220944256,0.608942779055744,7,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-47.0127272727273,5.89097413798808,5.05242644940156
"B223","Barnes","06/05/2023",19,0,15,4,12,0,0,3,0,0,0,0,0,16,102,0,0,0,0.905,303,84,0,8,117,16,9,9,1,2,4,10,605.917159763314,0.495191725198767,0.504808274801233,2,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-41.2109090909091,9.13321468086914,9.85350880695019
"B223","Barnes","05/05/2023",19,0,14,5,10,0,0,3,1,0,0,0,0,23,102,0,0,0,0.905,303,84,0,8,117,16,9,9,1,2,4,10,605.917159763314,0.495191725198767,0.504808274801233,2,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-41.2109090909091,9.13321468086914,9.85350880695019
"B223","Barnes","02/05/2023",12,0,8,0,11,1,0,0,0,0,0,0,0,0,102,0,NA,0,0.905,303,84,0,8,117,16,9,9,1,2,4,10,605.917159763314,0.495191725198767,0.504808274801233,2,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-41.2109090909091,9.13321468086914,9.85350880695019
"B231","Barnes","06/05/2023",6,0,5,0,6,0,0,0,0,0,0,0,0,0,102,0,NA,0,0.04,490,99,0,17,17,86,15,15,0,2,9,28,470.541734699159,0.329882777604074,0.670117222395926,3,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-50.9745454545455,6.77380975073875e-05,3.20190978177158
"B231","Barnes","05/05/2023",10,0,7,3,5,0,1,1,0,0,0,0,0,2,102,0,0,0,0.04,490,99,0,17,17,86,15,15,0,2,9,28,470.541734699159,0.329882777604074,0.670117222395926,3,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-50.9745454545455,6.77380975073875e-05,3.20190978177158
"B231","Barnes","02/05/2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,NA,NA,NA,0.04,490,99,0,17,17,86,15,15,0,2,9,28,470.541734699159,0.329882777604074,0.670117222395926,3,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-50.9745454545455,6.77380975073875e-05,3.20190978177158
"B232","Barnes","05/05/2023",153,2,49,39,105,0,8,1,0,0,0,2,0,113,102,0.0130718954248366,0,0.019047619047619,0.01,409,132,0,56,101,56,32,32,0,0,3,11,257.027080212529,0.246807964925406,0.753192035074594,2,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-49.8118181818182,4.16639549102515,3.66054250874147
"B232","Barnes","02/05/2023",34,0,15,5,29,0,0,0,0,0,0,0,0,3,102,0,0,0,0.01,409,132,0,56,101,56,32,32,0,0,3,11,257.027080212529,0.246807964925406,0.753192035074594,2,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-49.8118181818182,4.16639549102515,3.66054250874147
"B232","Barnes","06/05/2023",148,1,44,46,94,0,4,2,2,0,0,1,0,54,102,0.00675675675675676,0,0.0106382978723404,0.01,409,132,0,56,101,56,32,32,0,0,3,11,257.027080212529,0.246807964925406,0.753192035074594,2,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-49.8118181818182,4.16639549102515,3.66054250874147
"B233","Barnes","05/05/2023",72,3,31,20,49,0,3,0,0,0,1,2,0,120,102,0.0416666666666667,0.05,0.0408163265306122,0,493,40,0,39,41,145,41,41,0,0,3,25,243.37946996819,0.318852000792835,0.681147999207165,6,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-52.3881818181818,0.0492328896031504,2.72099204897389
"B233","Barnes","02/05/2023",22,1,10,11,10,0,1,0,0,0,1,0,0,14,102,0.0454545454545455,0.0909090909090909,0,0,493,40,0,39,41,145,41,41,0,0,3,25,243.37946996819,0.318852000792835,0.681147999207165,6,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-52.3881818181818,0.0492328896031504,2.72099204897389
"B233","Barnes","06/05/2023",34,1,22,9,20,0,2,3,0,0,0,1,0,29,102,0.0294117647058824,0,0.05,0,493,40,0,39,41,145,41,41,0,0,3,25,243.37946996819,0.318852000792835,0.681147999207165,6,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-52.3881818181818,0.0492328896031504,2.72099204897389
"B311","Barnes","06/05/2023",101,65,32,76,22,0,2,0,1,0,65,0,0,17,102,0.643564356435644,0.855263157894737,0,0.01,9,32,82,82,52,358,20,20,0,1,3,17,445.555238406862,0.670191376239503,0.329808623760497,1,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-47.7836363636364,6.20557528240274,4.62332629765931
"B311","Barnes","02/05/2023",36,11,16,13,22,0,0,1,0,0,8,3,0,8,102,0.305555555555556,0.615384615384615,0.136363636363636,0.01,9,32,82,82,52,358,20,20,0,1,3,17,445.555238406862,0.670191376239503,0.329808623760497,1,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-47.7836363636364,6.20557528240274,4.62332629765931
"B311","Barnes","05/05/2023",106,61,41,73,28,0,5,0,0,0,59,2,0,24,102,0.575471698113208,0.808219178082192,0.0714285714285714,0.01,9,32,82,82,52,358,20,20,0,1,3,17,445.555238406862,0.670191376239503,0.329808623760497,1,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-47.7836363636364,6.20557528240274,4.62332629765931
"S111","Silwood","02/05/2023",5,0,4,1,1,0,0,0,3,0,0,0,0,0,102,0,0,0,0.08,404,175,20,20,180,1520,175,175,0,0,0,0,18.0309320639557,0.873065491976729,0.126934508023271,1,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-57.6390909090909,0.096684491484902,1.48655786220814
"S111","Silwood","05/05/2023",8,0,7,2,2,0,0,4,0,0,0,0,0,0,102,0,0,0,0.08,404,175,20,20,180,1520,175,175,0,0,0,0,18.0309320639557,0.873065491976729,0.126934508023271,1,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-57.6390909090909,0.096684491484902,1.48655786220814
"S111","Silwood","06/05/2023",4,0,4,2,0,0,0,0,2,0,0,0,0,0,102,0,0,NA,0.08,404,175,20,20,180,1520,175,175,0,0,0,0,18.0309320639557,0.873065491976729,0.126934508023271,1,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-57.6390909090909,0.096684491484902,1.48655786220814
"S112","Silwood","02/05/2023",14,0,7,3,9,0,0,0,2,0,0,0,0,4,102,0,0,0,0.02,195,175,0,20,280,1535,188,188,0,0,0,0,145.158949049209,0.287710945875022,0.712289054124978,2,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-54.9427272727273,0.0087554028365912,2.02768271952128
"S112","Silwood","05/05/2023",59,3,33,15,33,0,0,0,10,1,0,3,0,4,102,0.0508474576271186,0,0.0909090909090909,0.02,195,175,0,20,280,1535,188,188,0,0,0,0,145.158949049209,0.287710945875022,0.712289054124978,2,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-54.9427272727273,0.0087554028365912,2.02768271952128
"S112","Silwood","06/05/2023",23,1,14,13,10,0,0,0,0,0,1,0,0,5,102,0.0434782608695652,0.0769230769230769,0,0.02,195,175,0,20,280,1535,188,188,0,0,0,0,145.158949049209,0.287710945875022,0.712289054124978,2,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-54.9427272727273,0.0087554028365912,2.02768271952128
"S113","Silwood","06/05/2023",153,14,37,91,61,0,0,0,1,0,7,7,0,58,102,0.0915032679738562,0.0769230769230769,0.114754098360656,0.02,200,210,0,20,260,1460,266,266,0,0,0,0,310.504764307477,0.340037631767018,0.659962368232982,2,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-54.5254545454545,0.0266128607087806,2.1274709388896
"S113","Silwood","05/05/2023",72,5,27,55,12,0,3,0,1,1,4,1,0,11,102,0.0694444444444444,0.0727272727272727,0.0833333333333333,0.02,200,210,0,20,260,1460,266,266,0,0,0,0,310.504764307477,0.340037631767018,0.659962368232982,2,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-54.5254545454545,0.0266128607087806,2.1274709388896
"S113","Silwood","02/05/2023",6,0,4,2,3,0,0,0,1,0,0,0,0,0,102,0,0,0,0.02,200,210,0,20,260,1460,266,266,0,0,0,0,310.504764307477,0.340037631767018,0.659962368232982,2,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-54.5254545454545,0.0266128607087806,2.1274709388896
"S121","Silwood","06/05/2023",67,1,23,44,18,0,5,0,0,0,1,0,0,15,102,0.0149253731343284,0.0227272727272727,0,0.02,110,95,0,27,240,1570,70,184,0,0,0,0,443.213296398892,0.142096805487315,0.857903194512685,3,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-57.0518181818182,0.33391609706412,1.59054314606282
