Date,Surveyor,Transect,Point,Distance_from_treatment,Location,Location,Treatment,Lux_horiz1,Lux_horiz2,Lux_vert1,Lux_vert2,spl,comments
05/06/2023,Emma&Poorvi,1,Control,250,Control,Control,Light,0.01,0.01,0.01,0.01,30.5,
05/06/2023,Emma&Poorvi,1,Control,250,Control,Control,Sound,0.01,0.01,0.01,0.01,30.5,
05/06/2023,Emma&Poorvi,1,Control,250,Control,Control,Light_Sound,0.01,0.01,0.01,0.01,30.5,
05/06/2023,Emma&Poorvi,1,Control,250,Control,Control,Control,0.01,0.01,0.01,0.01,30.5,
05/06/2023,Emma&Poorvi,2,Control,250,Control,Control,Light,0.01,0.01,0.01,0.01,30.5,
05/06/2023,Emma&Poorvi,2,Control,250,Control,Control,Sound,0.01,0.01,0.01,0.01,30.5,
05/06/2023,Emma&Poorvi,2,Control,250,Control,Control,Light_Sound,0.01,0.01,0.01,0.01,30.5,
05/06/2023,Emma&Poorvi,2,Control,250,Control,Control,Control,0.01,0.01,0.01,0.01,30.5,
05/06/2023,Emma&Poorvi,3,Control,250,Control,Control,Light,0.01,0.01,0.01,0.01,30.5,
05/06/2023,Emma&Poorvi,3,Control,250,Control,Control,Sound,0.01,0.01,0.01,0.01,30.5,
05/06/2023,Emma&Poorvi,3,Control,250,Control,Control,Light_Sound,0.01,0.01,0.01,0.01,30.5,
05/06/2023,Emma&Poorvi,3,Control,250,Control,Control,Control,0.01,0.01,0.01,0.01,30.5,
05/06/2023,Emma&Poorvi,1,1,0,Experimental,A: Experimental 0m,Light,1600,1460,5620,4240,35.2,
05/06/2023,Emma&Poorvi,1,2,5,Experimental,B: Experimental 5m,Light,25.3,25.5,160,160,34.3,
05/06/2023,Emma&Poorvi,1,3,10,Experimental,C: Experimental 10m,Light,0.55,0.56,38.7,39.2,29.7,
05/06/2023,Emma&Poorvi,1,4,20,Experimental,Experimental,Light,0.02,0.02,0.69,1.01,30.1,
05/06/2023,Emma&Poorvi,1,5,50,Experimental,Experimental,Light,0,0,0,0,31.9,
05/06/2023,Emma&Poorvi,1,6,100,Experimental,Experimental,Light,0.01,0.01,0,0,31.4,
05/06/2023,Emma&Poorvi,2,1,0,Experimental,Experimental,Light,5230,7880,14700,19100,31,
05/06/2023,Emma&Poorvi,2,2,5,Experimental,Experimental,Light,0.92,0.84,169,177,32.3,
05/06/2023,Emma&Poorvi,2,3,10,Experimental,Experimental,Light,0.52,0.52,36.7,36.8,30.5,
05/06/2023,Emma&Poorvi,2,4,20,Experimental,Experimental,Light,0.08,0.08,8.58,9.96,30.2,
05/06/2023,Emma&Poorvi,2,5,50,Experimental,Experimental,Light,0,0.01,0.01,0.01,30.7,
05/06/2023,Emma&Poorvi,2,6,100,Experimental,Experimental,Light,0,0,0,0,32.1,
05/06/2023,Emma&Poorvi,3,1,0,Experimental,Experimental,Light,2590,2360,13500,13900,34,
05/06/2023,Emma&Poorvi,3,2,5,Experimental,Experimental,Light,49.1,46.2,208,206,28.5,
05/06/2023,Emma&Poorvi,3,3,10,Experimental,Experimental,Light,1.12,2.69,24.5,25.4,27.7,
05/06/2023,Emma&Poorvi,3,4,20,Experimental,Experimental,Light,0.08,0.08,2.94,2.73,29.8,
05/06/2023,Emma&Poorvi,3,5,50,Experimental,Experimental,Light,0,0,0.01,0.01,28.9,
05/06/2023,Emma&Poorvi,3,6,100,Experimental,Experimental,Light,0,0,0,0,32.1,
05/06/2023,Emma&Poorvi,1,1,0,Experimental,Experimental,Control,0,0,0,0,35.2,
05/06/2023,Emma&Poorvi,1,2,5,Experimental,Experimental,Control,0,0.01,0,0,34.3,
05/06/2023,Emma&Poorvi,1,3,10,Experimental,Experimental,Control,0,0,0,0,29.7,
05/06/2023,Emma&Poorvi,1,4,20,Experimental,Experimental,Control,0,0.01,0,0,30.1,
05/06/2023,Emma&Poorvi,1,5,50,Experimental,Experimental,Control,0,0,0,0,31.9,
05/06/2023,Emma&Poorvi,1,6,100,Experimental,Experimental,Control,0.01,0.01,0.01,0.01,31.4,
05/06/2023,Emma&Poorvi,2,1,0,Experimental,Experimental,Control,0,0,0,0,31,
05/06/2023,Emma&Poorvi,2,2,5,Experimental,Experimental,Control,0,0,0,0,32.3,
05/06/2023,Emma&Poorvi,2,3,10,Experimental,Experimental,Control,0,0,0,0,30.5,
05/06/2023,Emma&Poorvi,2,4,20,Experimental,Experimental,Control,0,0,0,0,30.2,
05/06/2023,Emma&Poorvi,2,5,50,Experimental,Experimental,Control,0.01,0.01,0,0,30.7,
05/06/2023,Emma&Poorvi,2,6,100,Experimental,Experimental,Control,0,0,0,0,32.1,
05/06/2023,Emma&Poorvi,3,1,0,Experimental,Experimental,Control,0,0,0,0,34,
05/06/2023,Emma&Poorvi,3,2,5,Experimental,Experimental,Control,0,0,0,0,28.5,
05/06/2023,Emma&Poorvi,3,3,10,Experimental,Experimental,Control,0,0,0,0,27.7,
05/06/2023,Emma&Poorvi,3,4,20,Experimental,Experimental,Control,0,0,0,0,29.8,
05/06/2023,Emma&Poorvi,3,5,50,Experimental,Experimental,Control,0,0,0,0,28.9,
05/06/2023,Emma&Poorvi,3,6,100,Experimental,Experimental,Control,0,0,0,0,32.1,
05/06/2023,Emma&Poorvi,1,1,0,Experimental,Experimental,Sound,0,0,0,0,77.7,
05/06/2023,Emma&Poorvi,1,2,5,Experimental,Experimental,Sound,0,0.01,0,0,61.3,
05/06/2023,Emma&Poorvi,1,3,10,Experimental,Experimental,Sound,0,0,0,0,57.1,
05/06/2023,Emma&Poorvi,1,4,20,Experimental,Experimental,Sound,0,0.01,0,0,41,
05/06/2023,Emma&Poorvi,1,5,50,Experimental,Experimental,Sound,0,0,0,0,32.8,
05/06/2023,Emma&Poorvi,1,6,100,Experimental,Experimental,Sound,0.01,0.01,0.01,0.01,32.9,
05/06/2023,Emma&Poorvi,2,1,0,Experimental,Experimental,Sound,0,0,0,0,84.1,
05/06/2023,Emma&Poorvi,2,2,5,Experimental,Experimental,Sound,0,0,0,0,64.4,
05/06/2023,Emma&Poorvi,2,3,10,Experimental,Experimental,Sound,0,0,0,0,58.7,
05/06/2023,Emma&Poorvi,2,4,20,Experimental,Experimental,Sound,0,0,0,0,47.2,
05/06/2023,Emma&Poorvi,2,5,50,Experimental,Experimental,Sound,0.01,0.01,0,0,39.2,
05/06/2023,Emma&Poorvi,2,6,100,Experimental,Experimental,Sound,0,0,0,0,38.9,
05/06/2023,Emma&Poorvi,3,1,0,Experimental,Experimental,Sound,0,0,0,0,88.8,
05/06/2023,Emma&Poorvi,3,2,5,Experimental,Experimental,Sound,0,0,0,0,61.7,
05/06/2023,Emma&Poorvi,3,3,10,Experimental,Experimental,Sound,0,0,0,0,54.5,
05/06/2023,Emma&Poorvi,3,4,20,Experimental,Experimental,Sound,0,0,0,0,48.5,
05/06/2023,Emma&Poorvi,3,5,50,Experimental,Experimental,Sound,0,0,0,0,38.6,
05/06/2023,Emma&Poorvi,3,6,100,Experimental,Experimental,Sound,0,0,0,0,36.6,
05/06/2023,Emma&Poorvi,1,1,0,Experimental,Experimental,Light_Sound,1600,1460,5620,4240,77.7,
05/06/2023,Emma&Poorvi,1,2,5,Experimental,Experimental,Light_Sound,25.3,25.5,160,160,61.3,
05/06/2023,Emma&Poorvi,1,3,10,Experimental,Experimental,Light_Sound,0.55,0.56,38.7,39.2,57.1,
05/06/2023,Emma&Poorvi,1,4,20,Experimental,Experimental,Light_Sound,0.02,0.02,0.69,1.01,41,
05/06/2023,Emma&Poorvi,1,5,50,Experimental,Experimental,Light_Sound,0,0,0,0,32.8,
05/06/2023,Emma&Poorvi,1,6,100,Experimental,Experimental,Light_Sound,0.01,0.01,0,0,32.9,
05/06/2023,Emma&Poorvi,2,1,0,Experimental,Experimental,Light_Sound,5230,7880,14700,19100,84.1,
05/06/2023,Emma&Poorvi,2,2,5,Experimental,Experimental,Light_Sound,0.92,0.84,169,177,64.4,
05/06/2023,Emma&Poorvi,2,3,10,Experimental,Experimental,Light_Sound,0.52,0.52,36.7,36.8,58.7,
05/06/2023,Emma&Poorvi,2,4,20,Experimental,Experimental,Light_Sound,0.08,0.08,8.58,9.96,47.2,
05/06/2023,Emma&Poorvi,2,5,50,Experimental,Experimental,Light_Sound,0,0.01,0.01,0.01,39.2,
05/06/2023,Emma&Poorvi,2,6,100,Experimental,Experimental,Light_Sound,0,0,0,0,38.9,
05/06/2023,Emma&Poorvi,3,1,0,Experimental,Experimental,Light_Sound,2590,2360,13500,13900,88.8,
05/06/2023,Emma&Poorvi,3,2,5,Experimental,Experimental,Light_Sound,49.1,46.2,208,206,61.7,
05/06/2023,Emma&Poorvi,3,3,10,Experimental,Experimental,Light_Sound,1.12,2.69,24.5,25.4,54.5,
05/06/2023,Emma&Poorvi,3,4,20,Experimental,Experimental,Light_Sound,0.08,0.08,2.94,2.73,48.5,
05/06/2023,Emma&Poorvi,3,5,50,Experimental,Experimental,Light_Sound,0,0,0.01,0.01,38.6,
05/06/2023,Emma&Poorvi,3,6,100,Experimental,Experimental,Light_Sound,0,0,0,0,36.6,
